original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
Still of the Night,1982,"Crime, Drama, Mystery",93,USA,English,61.0,5.979947,63.0
Tempest,1982,"Comedy, Drama, Fantasy",140,USA,"English, Greek",65.0,5.005245,55.0
Tex,1982,Drama,103,USA,English,65.0,7.4,85.0
The Thing,1982,"Horror, Mystery, Sci-Fi",109,USA,"English, Norwegian",81.0,19.62976,85.0
Tootsie,1982,"Comedy, Drama, Romance",116,USA,English,74.0,177.2,90.0
The Toy,1982,Comedy,102,USA,"English, German",59.0,47.118057,9.0
Trail of the Pink Panther,1982,"Comedy, Crime, Mystery",96,"UK, USA",English,50.0,9.056073,23.0
TRON,1982,"Action, Adventure, Sci-Fi",96,USA,English,68.0,33.0,72.0
Venom,1981,"Horror, Thriller",93,UK,English,58.0,5.229643,43.0
The Verdict,1982,Drama,129,USA,English,77.0,53.993738,88.0
Vice Squad,1982,"Action, Crime, Drama",97,"UK, USA",English,65.0,13.253583,60.0
Victor Victoria,1982,"Comedy, Music, Musical",134,"UK, USA","English, French",76.0,28.229046,97.0
White Dog,1982,"Drama, Horror",90,USA,English,71.0,0.046509,92.0
The World According to Garp,1982,"Comedy, Drama",136,USA,English,72.0,29.712172,74.0
Wrong Is Right,1982,"Comedy, Drama, Thriller",117,USA,English,57.0,3.583513,30.0
"Yes, Giorgio",1982,"Comedy, Musical",110,USA,"English, Italian",39.0,2.279543,33.0
10 to Midnight,1983,"Crime, Drama, Thriller",101,USA,English,63.0,7.175592,40.0
All the Right Moves,1983,"Drama, Romance, Sport",91,USA,English,59.0,17.233166,61.0
Baby It's You,1983,"Comedy, Drama, Romance",105,USA,English,63.0,1.867792,94.0
The Big Chill,1983,"Comedy, Drama",105,USA,English,72.0,56.399659,68.0
The Black Stallion Returns,1983,"Adventure, Family",103,USA,"English, Berber languages, French",60.0,12.049514,20.0
Blue Thunder,1983,"Action, Crime, Drama",109,USA,English,64.0,42.313354,77.0
Brainstorm,1983,"Sci-Fi, Thriller",106,USA,English,65.0,10.21946,55.0
Christine,1983,"Horror, Thriller",110,USA,English,67.0,21.017849,69.0
A Christmas Story,1983,"Comedy, Family",94,"USA, Canada",English,79.0,20.618717,89.0
Class,1983,"Comedy, Drama, Romance",98,USA,English,60.0,21.667789,29.0
Cujo,1983,"Horror, Thriller",93,USA,English,61.0,21.156152,63.0
Curse of the Pink Panther,1983,"Comedy, Crime, Mystery",109,"UK, USA",English,44.0,4.491986,29.0
D.C. Cab,1983,"Action, Comedy",100,USA,English,56.0,16.134627,14.0
Daniel,1983,Drama,130,"UK, USA","English, Yiddish",66.0,0.687475,43.0
The Dead Zone,1983,"Drama, Horror, Sci-Fi",103,USA,"English, Russian",72.0,20.766616,89.0
Deal of the Century,1983,"Comedy, Crime",99,USA,English,47.0,10.369581,11.0
The Dresser,1983,Drama,118,UK,English,76.0,5.310748,100.0
Easy Money,1983,Comedy,95,USA,English,63.0,29.309766,60.0
Fire and Ice,1983,"Animation, Fantasy, Adventure",81,USA,English,66.0,0.760883,60.0
Flashdance,1983,"Drama, Music, Romance",95,USA,English,62.0,92.921203,36.0
Gorky Park,1983,"Crime, Drama, Mystery",128,USA,English,68.0,15.856028,75.0
Halloween III: Season of the Witch,1982,"Horror, Mystery, Sci-Fi",98,USA,English,49.0,14.4,41.0
Hammett,1982,"Crime, Drama, Mystery",97,USA,"English, Cantonese, German",65.0,0.042914,75.0
The Hunger,1983,"Drama, Horror",97,"UK, USA",English,67.0,5.988322,53.0
The Keep,1983,"Drama, Fantasy, Horror",96,UK,English,58.0,4.218594,40.0
Krull,1983,"Action, Adventure, Fantasy",116,UK,English,61.0,16.916617,32.0
Lianna,1983,"Drama, Romance",110,USA,English,67.0,1.530839,82.0
Local Hero,1983,"Comedy, Drama",111,UK,"English, Russian, Japanese",73.0,5.895761,100.0
Lone Wolf McQuade,1983,"Action, Crime, Drama",107,USA,"English, Spanish",64.0,12.232628,57.0
The Lords of Discipline,1983,Thriller,102,USA,English,66.0,11.787127,38.0
Lovesick,1983,"Comedy, Fantasy, Romance",95,USA,English,52.0,10.171304,40.0
The Man Who Loved Women,1983,"Comedy, Drama, Romance",110,USA,English,53.0,10.96474,33.0
The Man with Two Brains,1983,"Comedy, Romance, Sci-Fi",93,USA,English,64.0,10.353438,76.0
Max Dugan Returns,1983,"Comedy, Drama",98,USA,English,66.0,17.61372,71.0
Mr. Mom,1983,"Comedy, Drama",91,USA,English,65.0,64.783827,82.0
Nate and Hayes,1983,"Action, Adventure, Comedy",99,"New Zealand, USA",English,62.0,1.963756,0.0
National Lampoon's Vacation,1983,"Adventure, Comedy",98,USA,English,74.0,61.399552,93.0
Never Cry Wolf,1983,"Adventure, Drama",105,USA,"English, Inuktitut",75.0,29.6,100.0
Never Say Never Again,1983,"Action, Adventure, Thriller",134,"UK, USA, West Germany","English, French, Spanish, Arabic",62.0,55.432841,67.0
Nightmares,1983,"Horror, Sci-Fi",99,USA,English,58.0,6.67068,29.0
Octopussy,1983,"Action, Adventure, Thriller",131,UK,"English, Russian, German, Spanish, Hindi",66.0,67.893619,43.0
Of Unknown Origin,1983,"Horror, Thriller",89,"Canada, USA",English,61.0,1.08047,57.0
The Osterman Weekend,1983,"Action, Drama, Thriller",103,USA,English,59.0,6.486797,39.0
The Outsiders,1983,"Crime, Drama",91,"USA, France",English,71.0,25.697647,63.0
The Pirates of Penzance,1983,"Comedy, Musical, Romance",112,"UK, USA",English,71.0,0.694497,81.0
Psycho II,1983,"Crime, Horror, Mystery",113,"USA, Australia",English,65.0,34.725,59.0
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131,USA,English,83.0,475.347111,82.0
Risky Business,1983,"Comedy, Crime, Drama",99,USA,"English, German",68.0,63.541777,92.0
Rumble Fish,1983,"Crime, Drama, Romance",94,USA,English,72.0,2.49448,73.0
Scarface,1983,"Crime, Drama",170,USA,"English, Spanish",83.0,66.023585,82.0
Spacehunter: Adventures in the Forbidden Zone,1983,"Action, Adventure, Sci-Fi",90,"USA, Canada",English,55.0,16.478265,23.0
Spring Break,1983,"Comedy, Romance",102,USA,English,50.0,24.071666,20.0
Star 80,1983,"Biography, Drama",103,"USA, West Germany",English,67.0,6.47299,86.0
The Star Chamber,1983,"Crime, Drama, Mystery",109,USA,English,63.0,5.555305,71.0
Staying Alive,1983,"Drama, Music, Romance",93,USA,English,47.0,64.89267,0.0
Strange Invaders,1983,"Horror, Mystery, Sci-Fi",94,USA,English,55.0,1.362303,63.0
Streamers,1983,"Crime, Drama, War",118,USA,English,65.0,0.378452,56.0
Stroker Ace,1983,"Action, Comedy, Romance",96,USA,English,49.0,13.0,20.0
Sudden Impact,1983,"Action, Crime, Thriller",117,USA,English,67.0,67.642693,56.0
Superman III,1983,"Action, Adventure, Comedy",125,"UK, USA","English, Italian, Spanish",50.0,59.950623,29.0
The Survivors,1983,"Comedy, Crime, Drama",103,USA,"English, Spanish",58.0,14.0,9.0
Tender Mercies,1983,"Drama, Music",92,USA,English,74.0,8.443124,84.0
Terms of Endearment,1983,"Comedy, Drama",132,USA,English,74.0,108.423489,78.0
Testament,1983,Drama,90,USA,English,69.0,2.044892,82.0
Trading Places,1983,Comedy,116,USA,English,75.0,90.4048,87.0
Twilight Zone: The Movie,1983,"Horror, Sci-Fi",101,USA,"English, French, German, Vietnamese",65.0,29.450919,58.0
Uncommon Valor,1983,"Action, Drama, Thriller",105,USA,English,64.0,30.503151,56.0
Under Fire,1983,"Drama, War",128,"USA, Mexico",English,70.0,5.696391,90.0
Valley Girl,1983,"Comedy, Romance",99,USA,English,64.0,17.343596,83.0
Videodrome,1983,"Horror, Sci-Fi, Thriller",87,Canada,English,72.0,2.120439,80.0
Yentl,1983,"Drama, Musical, Romance",133,"UK, USA","English, Hebrew",66.0,40.218899,65.0
Against All Odds,1984,"Action, Adventure, Crime",128,USA,English,59.0,21.689062,70.0
All of Me,1984,"Comedy, Fantasy, Romance",93,USA,"English, Hebrew",67.0,36.403064,85.0
Amadeus,1984,"Biography, Drama, History",160,"USA, France, Czechoslovakia, Italy","English, Italian, Latin, German",83.0,52.066791,93.0
Beat Street,1984,"Drama, Music",105,USA,English,65.0,16.595791,57.0
Beverly Hills Cop,1984,"Action, Comedy, Crime",105,USA,English,73.0,316.360478,82.0
Birdy,1984,"Drama, War",120,USA,English,73.0,1.455045,85.0
Blame It on Rio,1984,"Comedy, Romance",100,USA,"English, Portuguese",58.0,18.64457,8.0
Blood Simple,1984,"Crime, Drama, Thriller",99,USA,"English, Spanish",76.0,4.227849,94.0
Body Double,1984,"Crime, Drama, Mystery",114,USA,English,68.0,8.80194,76.0
Bolero,1984,"Comedy, Drama, Romance",105,USA,English,30.0,8.914881,0.0
The Bostonians,1984,"Drama, Romance",122,"UK, USA",English,63.0,1.0097,83.0
The Bounty,1984,"Adventure, Drama, History",132,"UK, USA, New Zealand",English,71.0,8.613462,74.0
Broadway Danny Rose,1984,Comedy,84,USA,"English, Italian, Yiddish",74.0,10.600497,100.0
The Brother from Another Planet,1984,"Comedy, Sci-Fi",108,USA,"English, Spanish",67.0,3.677209,89.0
Cannonball Run II,1984,"Action, Comedy",108,"USA, Hong Kong",English,51.0,28.078073,13.0
Children of the Corn,1984,"Horror, Thriller",92,USA,English,57.0,14.568989,35.0
City Heat,1984,"Action, Comedy, Crime",93,USA,English,55.0,38.348988,22.0
The Company of Wolves,1984,"Drama, Fantasy, Horror",95,UK,English,67.0,4.389334,80.0
Conan the Destroyer,1984,"Action, Adventure, Fantasy",103,"USA, Mexico",English,59.0,31.042035,25.0
The Cotton Club,1984,"Crime, Drama, Music",127,USA,"English, Italian",65.0,25.928721,76.0
Crimes of Passion,1984,"Drama, Romance, Thriller",107,USA,English,64.0,2.912945,36.0
Dreamscape,1984,"Action, Adventure, Horror",99,USA,English,63.0,12.145169,77.0
Dune,1984,"Action, Adventure, Sci-Fi",137,"USA, Mexico",English,65.0,30.92569,53.0
The Falcon and the Snowman,1985,"Biography, Crime, Drama",131,"UK, USA, Mexico",English,68.0,17.130087,82.0
Falling in Love,1984,"Drama, Romance",106,USA,English,65.0,11.129057,58.0
Firestarter,1984,"Action, Horror, Sci-Fi",114,USA,English,61.0,17.080167,37.0
Firstborn,1984,"Drama, Thriller",103,USA,English,63.0,6.250994,36.0
Footloose,1984,"Drama, Music, Romance",107,USA,English,66.0,80.035402,52.0
Garbo Talks,1984,"Comedy, Drama",103,USA,English,64.0,1.493782,13.0
Gremlins,1984,"Comedy, Fantasy, Horror",106,USA,"English, Spanish",73.0,153.62903,85.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,"Adventure, Drama",143,"UK, USA","English, French",64.0,45.858563,73.0
The Hotel New Hampshire,1984,"Comedy, Drama",109,"UK, Canada, USA",English,60.0,5.142858,71.0
The Ice Pirates,1984,"Action, Adventure, Comedy",91,USA,English,57.0,14.255801,9.0
Indiana Jones and the Temple of Doom,1984,"Action, Adventure",118,USA,"English, Sinhalese, Hindi",76.0,333.107271,84.0
The Karate Kid,1984,"Action, Drama, Family",126,USA,"English, Japanese",72.0,91.119319,89.0
The Killing Fields,1984,"Biography, Drama, History",141,UK,"English, French, Khmer, Russian",78.0,34.700291,93.0
Lassiter,1984,"Action, Crime, Drama",100,USA,English,59.0,17.513452,71.0
The Last Starfighter,1984,"Action, Adventure, Sci-Fi",101,USA,English,68.0,28.73329,74.0
The Lonely Guy,1984,"Comedy, Romance",90,USA,English,63.0,5.718573,48.0
Love Streams,1984,Drama,141,USA,"Spanish, French, English",78.0,0.008412,100.0
Micki + Maude,1984,"Comedy, Romance",118,USA,English,60.0,26.080861,70.0
Missing in Action,1984,"Action, Adventure, Drama",101,USA,"English, Vietnamese",55.0,22.812411,19.0
Mrs. Soffel,1984,"Drama, Romance",110,USA,English,61.0,4.385312,36.0
The Muppets Take Manhattan,1984,"Adventure, Comedy, Drama",94,USA,English,69.0,25.534703,83.0
The Natural,1984,"Drama, Sport",138,USA,English,75.0,47.951979,81.0
A Nightmare on Elm Street,1984,Horror,91,USA,English,75.0,25.504513,94.0
No Small Affair,1984,"Comedy, Drama, Music",102,USA,English,55.0,4.994094,57.0
"Oh, God! You Devil",1984,"Comedy, Fantasy",97,USA,English,55.0,21.53885,36.0
Once Upon a Time in America,1984,"Crime, Drama",229,"USA, Italy","English, Italian, French",84.0,5.472914,87.0
"Paris, Texas",1984,Drama,145,"West Germany, France, UK","English, Spanish",81.0,2.206121,97.0
A Passage to India,1984,"Adventure, Drama, History",164,"UK, USA","English, Hindi",73.0,27.201244,76.0
The Philadelphia Experiment,1984,"Adventure, Drama, Romance",102,USA,English,61.0,8.10333,50.0
Places in the Heart,1984,Drama,111,USA,English,74.0,34.901614,89.0
Police Academy,1984,Comedy,96,USA,English,67.0,81.198894,54.0
Protocol,1984,Comedy,96,USA,English,55.0,26.186631,25.0
Purple Rain,1984,"Drama, Music, Romance",111,USA,English,66.0,70.261906,70.0
The Razor's Edge,1984,"Drama, Romance, War",128,"UK, USA",English,66.0,6.551987,50.0
Razorback,1984,"Horror, Thriller",95,Australia,English,60.0,0.15014,58.0
Reckless,1984,"Comedy, Drama, Romance",90,USA,English,64.0,8.289916,0.0
Red Dawn,1984,"Action, Drama",114,USA,"English, Russian, Spanish",64.0,38.376497,46.0
Repo Man,1984,"Action, Comedy, Crime",92,USA,"English, Spanish",69.0,0.129,98.0
Romancing the Stone,1984,"Action, Adventure, Comedy",106,"Mexico, USA","English, Spanish, French",69.0,86.572238,85.0
Runaway,1984,"Action, Crime, Sci-Fi",99,USA,English,59.0,6.770587,47.0
Sheena,1984,"Adventure, Fantasy",117,"UK, USA",English,49.0,5.778353,30.0
"Silent Night, Deadly Night",1984,"Horror, Thriller",79,USA,English,59.0,2.49146,35.0
Sixteen Candles,1984,"Comedy, Romance",93,USA,English,71.0,23.686027,84.0
A Soldier's Story,1984,"Crime, Drama, Mystery",101,USA,English,72.0,21.821347,90.0
Splash,1984,"Comedy, Fantasy, Romance",111,USA,"English, Swedish",62.0,69.821334,
Starman,1984,"Romance, Sci-Fi",115,USA,English,70.0,28.744356,85.0
The Stone Boy,1984,Drama,91,USA,English,66.0,0.261033,67.0
Streets of Fire,1984,"Action, Crime, Drama",93,USA,English,67.0,8.08929,67.0
Supergirl,1984,"Action, Adventure, Fantasy",124,UK,English,44.0,14.296438,9.0
Swing Shift,1984,"Drama, Romance, War",100,USA,English,59.0,6.650206,87.0
Teachers,1984,"Comedy, Drama",107,USA,English,61.0,27.774237,67.0
The Terminator,1984,"Action, Sci-Fi",107,"UK, USA","English, Spanish",80.0,78.680331,100.0
This Is Spinal Tap,1984,"Comedy, Music",82,USA,English,79.0,4.736202,95.0
Tightrope,1984,"Crime, Mystery, Thriller",114,USA,English,63.0,48.143579,85.0
Top Secret!,1984,"Comedy, Music",90,"UK, USA","English, German, Yiddish",72.0,20.45834,77.0
The Woman in Red,1984,"Comedy, Romance",87,USA,English,60.0,25.308147,35.0
The Adventures of Mark Twain,1985,"Animation, Adventure, Family",86,USA,English,74.0,0.849915,80.0
After Hours,1985,"Comedy, Crime, Drama",97,USA,English,77.0,10.609321,89.0
Agnes of God,1985,"Drama, Mystery",98,USA,"English, French, Latin",66.0,25.627836,43.0
American Flyers,1985,"Drama, Sport",113,USA,English,65.0,1.420355,
The Aviator,1985,"Adventure, Drama",96,USA,English,55.0,1.304192,20.0
Baby: Secret of the Lost Legend,1985,"Family, Adventure, Sci-Fi",95,USA,"English, French",51.0,14.972297,13.0
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",116,USA,English,85.0,388.774684,96.0
The Black Cauldron,1985,"Animation, Action, Adventure",80,"USA, UK","English, Portuguese",64.0,21.288692,53.0
The Breakfast Club,1985,"Comedy, Drama",97,USA,English,79.0,51.538286,89.0
Brewster's Millions,1985,Comedy,102,USA,English,65.0,45.833132,35.0
The Bride,1985,"Fantasy, Horror, Romance",118,"UK, USA",English,54.0,3.558669,25.0
The Care Bears Movie,1985,"Animation, Adventure, Comedy",77,"Canada, USA",English,57.0,22.934622,50.0
A Chorus Line,1985,"Drama, Music, Musical",113,USA,English,62.0,14.202899,40.0
Clue,1985,"Comedy, Crime, Mystery",94,USA,"English, French",73.0,14.643997,65.0
Code of Silence,1985,"Action, Crime, Drama",101,USA,English,61.0,20.345361,63.0
The Color Purple,1985,Drama,154,USA,English,78.0,98.467863,81.0
Commando,1985,"Action, Adventure, Thriller",90,USA,English,67.0,57.491,71.0
Creator,1985,"Comedy, Romance, Sci-Fi",107,USA,English,62.0,5.349607,38.0
D.A.R.Y.L.,1985,"Family, Sci-Fi",99,"UK, USA",English,63.0,7.840873,53.0
Day of the Dead,1985,"Horror, Thriller",96,USA,English,72.0,5.0,81.0
Death Wish 3,1985,"Action, Crime, Drama",92,"USA, Canada","English, Spanish",59.0,16.116878,11.0
Desperately Seeking Susan,1985,"Comedy, Drama",104,USA,English,60.0,27.398584,83.0
Enemy Mine,1985,"Action, Adventure, Drama",108,"USA, West Germany, UK",English,69.0,12.303411,63.0
Explorers,1985,"Adventure, Comedy, Family",109,USA,"English, German",66.0,9.873044,77.0
F/X,1986,"Action, Thriller",109,USA,English,67.0,20.603715,88.0
Fletch,1985,"Comedy, Crime, Mystery",98,USA,English,69.0,59.612888,77.0
Fright Night,1985,"Fantasy, Horror, Thriller",106,USA,English,71.0,24.922237,92.0
Girls Just Want to Have Fun,1985,"Comedy, Music, Romance",90,USA,English,60.0,6.326051,38.0
The Goonies,1985,"Adventure, Comedy, Family",114,USA,"English, Spanish, Cantonese, Italian",78.0,63.84952,76.0
Heaven Help Us,1985,"Comedy, Drama, Romance",104,USA,English,70.0,6.070794,33.0
Into the Night,1985,"Action, Comedy, Crime",115,USA,"English, Persian, French, Spanish",65.0,7.562164,38.0
Jagged Edge,1985,"Drama, Mystery, Thriller",108,USA,English,65.0,40.491165,81.0
The Jewel of the Nile,1985,"Action, Adventure, Comedy",106,USA,"English, Arabic",62.0,96.7732,48.0
The Journey of Natty Gann,1985,"Adventure, Family",101,USA,English,71.0,9.708373,91.0
Just One of the Guys,1985,"Comedy, Romance",100,USA,English,65.0,11.5289,45.0
Kiss of the Spider Woman,1985,Drama,120,"Brazil, USA","English, French, Portuguese, German",74.0,17.009654,87.0
Krush Groove,1985,"Comedy, Drama, Music",97,USA,English,65.0,11.052713,43.0
Ladyhawke,1985,"Adventure, Comedy, Drama",121,"USA, Italy",English,70.0,18.432,67.0
The Last Dragon,1985,"Action, Comedy, Drama",109,USA,English,69.0,25.754284,58.0
Legend,1985,"Adventure, Fantasy, Romance",94,USA,"English, Italian",65.0,15.502112,38.0
The Legend of Billie Jean,1985,"Action, Drama",96,USA,English,67.0,3.099497,45.0
Lifeforce,1985,"Action, Horror, Mystery",101,"UK, USA",English,62.0,11.603545,58.0
Mad Max Beyond Thunderdome,1985,"Action, Adventure, Sci-Fi",107,Australia,English,63.0,36.230219,80.0
The Man with One Red Shoe,1985,"Comedy, Thriller",92,USA,English,57.0,8.645411,47.0
The Mean Season,1985,"Crime, Thriller",103,USA,English,61.0,4.349446,50.0
Mishima: A Life in Four Chapters,1985,"Biography, Drama",120,"USA, Japan","Japanese, English",80.0,0.569996,89.0
Murphy's Romance,1985,"Comedy, Drama, Romance",107,USA,English,70.0,30.867525,73.0
National Lampoon's European Vacation,1985,"Adventure, Comedy",95,USA,"English, Italian, German, French",62.0,49.364621,34.0
Once Bitten,1985,"Comedy, Drama, Fantasy",94,USA,English,55.0,10.0,18.0
One Magic Christmas,1985,"Family, Fantasy",89,"Canada, USA",English,65.0,13.677222,47.0
Out of Africa,1985,"Biography, Drama, Romance",161,"USA, UK","English, Swahili",72.0,227.542205,59.0
Pale Rider,1985,"Drama, Western",115,USA,English,73.0,41.410568,93.0
Pee-wee's Big Adventure,1985,"Adventure, Comedy, Family",91,USA,"English, French",70.0,40.940662,87.0
Perfect,1985,"Drama, Romance",115,USA,"English, French",45.0,12.918858,19.0
Police Academy 2: Their First Assignment,1985,Comedy,87,USA,English,58.0,55.6,31.0
The Protector,1985,"Action, Crime, Thriller",91,"Hong Kong, USA","English, Cantonese",58.0,0.981817,20.0
The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",82,USA,English,77.0,10.631333,92.0
The Quiet Earth,1985,"Drama, Mystery, Sci-Fi",91,New Zealand,"English, Maori",68.0,2.123135,71.0
Rainbow Brite and the Star Stealer,1985,"Animation, Adventure, Family",85,"USA, Japan, France",English,69.0,4.889971,0.0
Rambo: First Blood Part II,1985,"Action, Adventure, Thriller",96,"USA, Mexico","English, Vietnamese, Russian",65.0,300.400432,35.0
Ran,1985,"Action, Drama, War",162,"Japan, France",Japanese,82.0,4.163377,97.0
Re-Animator,1985,"Comedy, Horror, Sci-Fi",104,USA,"English, German",72.0,2.023414,93.0
Real Genius,1985,"Comedy, Romance, Sci-Fi",108,USA,English,70.0,12.952019,73.0
Red Sonja,1985,"Action, Adventure, Fantasy",89,"USA, Netherlands, Italy",English,51.0,6.951415,15.0
The Return of the Living Dead,1985,"Comedy, Horror, Sci-Fi",91,USA,English,73.0,14.23788,91.0
Return to Oz,1985,"Adventure, Family, Fantasy",113,"UK, USA",English,67.0,11.137801,53.0
Revolution,1985,"Adventure, Drama, History",126,"UK, Norway",English,53.0,0.358574,10.0
Rocky IV,1985,"Drama, Sport",91,USA,"English, Russian",69.0,300.473716,40.0
Runaway Train,1985,"Action, Adventure, Drama",111,USA,English,72.0,7.68362,85.0
Santa Claus: The Movie,1985,"Adventure, Family, Fantasy",107,"UK, USA",English,63.0,23.717291,20.0
The Secret of the Sword,1985,"Animation, Action, Adventure",100,"USA, Japan","English, Japanese",72.0,7.660857,60.0
Silverado,1985,"Action, Crime, Drama",133,USA,English,72.0,32.19257,76.0
The Slugger's Wife,1985,"Comedy, Music, Romance",105,USA,English,46.0,1.878561,0.0
Spies Like Us,1985,"Adventure, Comedy",102,USA,"English, Russian",65.0,60.08898,32.0
St. Elmo's Fire,1985,"Drama, Romance",110,USA,English,64.0,37.803872,44.0
Stick,1985,"Action, Crime, Drama",109,USA,English,58.0,8.489518,29.0
Subway,1985,Thriller,104,France,French,66.0,0.390659,75.0
Summer Rental,1985,Comedy,87,USA,"English, Spanish",63.0,24.689703,17.0
Target,1985,"Action, Adventure, Crime",117,USA,"English, French, German",60.0,9.023199,71.0
Teen Wolf,1985,"Comedy, Fantasy, Romance",91,USA,English,61.0,33.086611,42.0
Transylvania 6-5000,1985,"Comedy, Fantasy, Horror",93,"Yugoslavia, USA",English,50.0,7.196872,18.0
Tuff Turf,1985,"Action, Comedy, Drama",112,USA,English,62.0,9.369329,17.0
Twice in a Lifetime,1985,"Drama, Romance",111,USA,English,65.0,8.402424,83.0
A View to a Kill,1985,"Action, Adventure, Thriller",131,UK,"English, French",64.0,50.32796,38.0
Vision Quest,1985,"Drama, Romance, Sport",107,USA,English,66.0,12.993175,57.0
Volunteers,1985,"Adventure, Comedy",107,"USA, Mexico",English,55.0,19.87574,58.0
Warning Sign,1985,"Drama, Sci-Fi, Thriller",99,USA,English,61.0,1.918117,11.0
Weird Science,1985,"Comedy, Romance, Sci-Fi",94,USA,English,66.0,38.934048,57.0
White Nights,1985,"Drama, Music",136,USA,"English, Russian",67.0,42.160849,46.0
Witchboard,1986,"Horror, Mystery, Thriller",98,"UK, USA",English,57.0,7.369373,50.0
Witness,1985,"Crime, Drama, Romance",112,USA,"English, German",74.0,68.706993,93.0
Year of the Dragon,1985,"Action, Crime, Drama",134,USA,"Mandarin, English, Cantonese, Vietnamese, Polish",69.0,18.707466,56.0
Young Sherlock Holmes,1985,"Adventure, Fantasy, Mystery",109,USA,English,68.0,19.739575,64.0
'Round Midnight,1986,"Drama, Music",133,"USA, France","English, French",74.0,3.272593,100.0
84 Charing Cross Road,1987,"Biography, Drama, Romance",100,"UK, USA",English,74.0,1.083486,87.0
Aliens,1986,"Action, Adventure, Sci-Fi",137,"USA, UK",English,83.0,131.384634,97.0
American Anthem,1986,"Drama, Sport",102,USA,English,48.0,4.845724,0.0
An American Tail,1986,"Animation, Adventure, Comedy",80,USA,English,69.0,84.557295,71.0
April Fool's Day,1986,"Horror, Mystery",89,"USA, Canada",English,62.0,12.947763,50.0
Armed and Dangerous,1986,"Action, Comedy, Crime",88,USA,English,57.0,15.945534,10.0
At Close Range,1986,"Crime, Drama",111,USA,English,70.0,2.347,87.0
Back to School,1986,"Comedy, Romance, Sport",96,USA,English,67.0,91.258,86.0
Band of the Hand,1986,"Action, Crime, Drama",109,USA,English,63.0,4.865912,11.0
The Best of Times,1986,"Comedy, Drama, Sport",104,USA,English,60.0,7.817314,31.0
Big Trouble in Little China,1986,"Action, Adventure, Comedy",99,USA,"English, Cantonese",73.0,11.100374,78.0
Black Moon Rising,1986,"Action, Crime, Thriller",100,USA,English,55.0,6.637565,43.0
Black Widow,1987,"Crime, Drama, Thriller",102,USA,English,63.0,25.20546,50.0
Blue Velvet,1986,"Drama, Mystery, Thriller",120,USA,English,77.0,8.617408,94.0
The Boy Who Could Fly,1986,"Drama, Fantasy, Romance",114,USA,English,65.0,7.177431,63.0
Brighton Beach Memoirs,1986,Comedy,108,USA,English,68.0,11.957943,69.0
Children of a Lesser God,1986,"Drama, Romance",119,USA,"English, American Sign Language",72.0,31.85308,82.0
The Clan of the Cave Bear,1986,"Adventure, Drama, Fantasy",98,"USA, Canada",English,54.0,1.953732,10.0
Clockwise,1986,Comedy,96,UK,English,66.0,1.476356,80.0
Club Paradise,1986,Comedy,96,USA,English,51.0,12.308521,11.0
Cobra,1986,"Action, Crime, Thriller",87,"USA, Israel",English,58.0,49.042224,14.0
The Color of Money,1986,"Drama, Sport",119,USA,"English, Spanish",70.0,52.293982,89.0
Crimes of the Heart,1986,"Comedy, Drama",105,USA,English,64.0,22.905522,81.0
Critters,1986,"Comedy, Horror, Sci-Fi",86,USA,English,61.0,13.167232,52.0
Crossroads,1986,"Drama, Music, Mystery",99,USA,English,71.0,5.839031,73.0
Deadly Friend,1986,"Drama, Horror, Sci-Fi",91,USA,English,56.0,8.988731,8.0
The Delta Force,1986,"Action, Adventure, Drama",125,"USA, Israel","English, Arabic, Hebrew, Greek",56.0,17.7689,18.0
Down and Out in Beverly Hills,1986,Comedy,103,USA,English,62.0,62.134225,79.0
Down by Law,1986,"Comedy, Crime, Drama",107,"USA, West Germany","English, Italian, French",78.0,1.504286,87.0
Extremities,1986,"Drama, Thriller",89,USA,English,63.0,13.418091,40.0
Ferris Bueller's Day Off,1986,Comedy,103,USA,"English, German",78.0,70.712677,81.0
A Fine Mess,1986,"Action, Comedy, Crime",90,USA,English,48.0,6.029824,33.0
Firewalker,1986,"Action, Adventure, Comedy",105,USA,"English, Hungarian, Spanish",52.0,11.949484,8.0
Flight of the Navigator,1986,"Adventure, Comedy, Family",90,USA,English,69.0,18.564613,84.0
The Fly,1986,"Drama, Horror, Sci-Fi",96,"USA, UK, Canada",English,76.0,60.632088,92.0
From Beyond,1986,"Horror, Sci-Fi",85,USA,English,67.0,1.261,78.0
The Golden Child,1986,"Action, Adventure, Comedy",94,USA,English,60.0,79.817937,26.0
The Great Mouse Detective,1986,"Animation, Adventure, Family",74,USA,"English, French, German, Italian",72.0,38.62555,80.0
Gung Ho,1986,"Comedy, Drama",112,USA,English,63.0,36.61161,33.0
Hannah and Her Sisters,1986,"Comedy, Drama",107,USA,English,79.0,40.084041,91.0
Heartbreak Ridge,1986,"Drama, War",130,USA,"English, Spanish",69.0,42.724017,73.0
Heartburn,1986,"Comedy, Drama",108,USA,English,61.0,25.314189,45.0
Highlander,1986,"Action, Adventure, Fantasy",116,UK,English,71.0,5.9,69.0
